Name,Street Address,Road,City,State,Brewery License,License Date,Status,Address
11 Below Brewing Company,6820,BOURGEOIS ROAD,HOUSTON,TX,Brewpub,5/31/2017,Open,"6820 BOURGEOIS ROAD, HOUSTON, TX"
12 Fox Beer Co,4700,W FITZHUGH ROAD,DRIPPING SPRINGS,TX,Brewpub,9/27/2018,Open,"4700 W FITZHUGH ROAD, DRIPPING SPRINGS, TX"
4J Brewing Company,1348,CEDARPOST LANE,HOUSTON,TX,Brewpub,11/16/2015,Open,"1348 CEDARPOST LANE, HOUSTON, TX"
5 Stones Artisan Brewery,11335,FM 1863,NEW BRAUNFELS,TX,Brewpub,11/13/2017,Open,"11335 FM 1863, NEW BRAUNFELS, TX"
5X5 Brewing Co.,801,N BRYAN ROAD SUITE 174,MISSION,TX,Brewpub,9/12/2017,Open,"801 N BRYAN ROAD SUITE 174, MISSION, TX"
903 Brewers,1720,S ELM STREET,SHERMAN,TX,Brewpub,2/3/2017,Open,"1720 S ELM STREET, SHERMAN, TX"
Acopon Brewing,211,MERCER STREET,DRIPPING SPRINGS,TX,Brewpub,4/7/2017,Open,"211 MERCER STREET, DRIPPING SPRINGS, TX"
Adelbert's Brewery,2314,RUTLAND DRIVE SUITE 100,AUSTIN,TX,Brewpub,3/8/2016,Open,"2314 RUTLAND DRIVE SUITE 100, AUSTIN, TX"
Altstadt,6120,HWY 290 EAST,FREDERICKSBURG,TX,Brewpub,5/12/2016,Open,"6120 HWY 290 EAST, FREDERICKSBURG, TX"
Angelina Brewing Company,118,S 1ST STREET,LUFKIN,TX,Brewpub,4/29/2019,Open,"118 S 1ST STREET, LUFKIN, TX"
Anvil Brewing,115,COMPRESS,PITTSBURG,TX,Brewpub,6/23/2017,Open,"115 COMPRESS, PITTSBURG, TX"
Aquabrew,150,S LBJ DRIVE,SAN MARCOS,TX,Brewpub,11/17/2016,Open,"150 S LBJ DRIVE, SAN MARCOS, TX"
Astral Brewing,4816,N SHEPHERD DRIVE SUITE A,HOUSTON,TX,Brewpub,10/2/2018,Open,"4816 N SHEPHERD DRIVE SUITE A, HOUSTON, TX"
Aurelia's,1620,N RESLER 'C',EL PASO,TX,Brewpub,11/3/2017,Open,"1620 N RESLER 'C', EL PASO, TX"
B & J Pizza Restaurant,6662,S STAPLES STREET,CORPUS CHRISTI,TX,Brewpub,4/23/2007,Open,"6662 S STAPLES STREET, CORPUS CHRISTI, TX"
B-52 Brewing Company,12470,MILROY LANE,CONROE,TX,Brewpub,3/13/2014,Open,"12470 MILROY LANE, CONROE, TX"
Baa Baa Brewhouse,539,FM 359 SUITE 7,BROOKSHIRE,TX,Brewpub,7/7/2015,Open,"539 FM 359 SUITE 7, BROOKSHIRE, TX"
Back Pew Brewing Company,26452,SORTERS ROAD,PORTER,TX,Brewpub,2/13/2018,Open,"26452 SORTERS ROAD, PORTER, TX"
Back Unturned Brewing Co.,516,BROOKLYN AVENUE,SAN ANTONIO,TX,Brewpub,3/22/2019,In the works,"516 BROOKLYN AVENUE, SAN ANTONIO, TX"
Baileson Brewing Company,2322,BISSONNET STREET,HOUSTON,TX,Brewpub,1/4/2017,Open,"2322 BISSONNET STREET, HOUSTON, TX"
Bakfish Brewing Co.,1231,E BROADWAY,PEARLAND,TX,Brewpub,12/21/2015,Open,"1231 E BROADWAY, PEARLAND, TX"
Bandera Ale Project,3540,HWY 16S SUITE 2A,BANDERA,TX,Brewpub,7/11/2017,Open,"3540 HWY 16S SUITE 2A, BANDERA, TX"
Bankhead Brewing Co.,3840,MAIN STREET,ROWLETT,TX,Brewpub,2/11/2016,Open,"3840 MAIN STREET, ROWLETT, TX"
Bar D Brewhouse,213,N HIGH STREET,SAN SABA,TX,Brewpub,9/16/2011,Open,"213 N HIGH STREET, SAN SABA, TX"
Bare Arms Brewing,2515,LASALLE AVENUE,WACO,TX,Brewpub,3/13/2015,Open,"2515 LASALLE AVENUE, WACO, TX"
Barrow Brewing Company,108,ROYAL STREET,SALADO,TX,Brewpub,4/2/2015,Open,"108 ROYAL STREET, SALADO, TX"
Basement Brewers Of Texas,521,CLAY STREET,KERRVILLE,TX,Brewpub,8/17/2017,Open,"521 CLAY STREET, KERRVILLE, TX"
Batch Craft Beer & Kolaches,3220,MANOR ROAD,AUSTIN,TX,Brewpub,11/8/2016,Open,"3220 MANOR ROAD, AUSTIN, TX"
Battlehops Brewing,6801,HWY BOULEVARD,KATY,TX,Brewpub,3/1/2018,Open,"6801 HWY BOULEVARD, KATY, TX"
Bearded Fox Brewing Company,11729,SPRING CYPRESS ROAD SUITE R,TOMBALL,TX,Brewpub,8/22/2018,Open,"11729 SPRING CYPRESS ROAD SUITE R, TOMBALL, TX"
Beer Ranch Project,97,DEER LAKE ESTATES,WIMBERLEY,TX,Brewpub,11/1/2018,In the works,"97 DEER LAKE ESTATES, WIMBERLEY, TX"
Beerfoot Beach Bar,2816,AVE R 1/2,GALVESTON,TX,Brewpub,8/9/2005,Open,"2816 AVE R 1/2, GALVESTON, TX"
Big River Brewery,505,W NOLANA,PHARR,TX,Brewpub,4/10/2017,Open,"505 W NOLANA, PHARR, TX"
Big Texan Steak Ranch,7701,IH 40 EAST,AMARILLO,TX,Brewpub,7/9/1997,Open,"7701 IH 40 EAST, AMARILLO, TX"
BJ's Brewhouse,602,E CENTRAL AVENUE,TEMPLE,TX,Brewpub,1/29/2015,Open,"602 E CENTRAL AVENUE, TEMPLE, TX"
Black Page Brewing Co.,210,GLEN PARK STREET,HOUSTON,TX,Brewpub,9/15/2016,In the works,"210 GLEN PARK STREET, HOUSTON, TX"
Blackwater Draw Brewing Company,701,N MAIN STREET,BRYAN,TX,Brewpub,8/19/2015,Open,"701 N MAIN STREET, BRYAN, TX"
Blazing Tree Brewery,11426,ROJAS SPACE A13,EL PASO,TX,Brewpub,7/12/2017,Open,"11426 ROJAS SPACE A13, EL PASO, TX"
Blue Owl Brewing,2400,E CESAR CHAVEZ STREET,AUSTIN,TX,Brewpub,5/29/2014,Open,"2400 E CESAR CHAVEZ STREET, AUSTIN, TX"
Blue Star Brewing Company,1414,S ALAMO SUITE 105,SAN ANTONIO,TX,Brewpub,5/13/1996,Open,"1414 S ALAMO SUITE 105, SAN ANTONIO, TX"
Boerne Brewery,9,HILL VIEW LANE,BOERNE,TX,Brewpub,12/16/2016,Open,"9 HILL VIEW LANE, BOERNE, TX"
Bold Republic Brewing Company,206,N PENELOPE STREET,BELTON,TX,Brewpub,10/27/2017,Open,"206 N PENELOPE STREET, BELTON, TX"
Braindead Brewing,2625,MAIN STREET,DALLAS,TX,Brewpub,2/11/2015,Open,"2625 MAIN STREET, DALLAS, TX"
Brash,510,W CROSSTIMBERS,HOUSTON,TX,Brewpub,2/24/2014,Open,"510 W CROSSTIMBERS, HOUSTON, TX"
Bray's Smokehouse,1500,S BRAHMA BOULEVARD,KINGSVILLE,TX,Brewpub,9/17/2018,In the works,"1500 S BRAHMA BOULEVARD, KINGSVILLE, TX"
Brazos Valley Brewing Company,201,W 1ST STREET,BRENHAM,TX,Brewpub,5/12/2015,Open,"201 W 1ST STREET, BRENHAM, TX"
Brewer's Table,4715,E 5TH STREET,AUSTIN,TX,Brewpub,9/6/2017,Open,"4715 E 5TH STREET, AUSTIN, TX"
Brews Brothers,2404,STRAND,GALVESTON,TX,Brewpub,5/16/2013,Open,"2404 STRAND, GALVESTON, TX"
Brewsome,1303,N 10TH STREET,MCALLEN,TX,Brewpub,11/19/2018,Open,"1303 N 10TH STREET, MCALLEN, TX"
Brick Oven Pizza Of Abilene Inc.,4714,S 14TH STREET,ABILENE,TX,Brewpub,5/23/2005,Open,"4714 S 14TH STREET, ABILENE, TX"
Brick Vault Brewery & BBQ,100,N 1ST STREET,MARATHON,TX,Brewpub,6/4/2018,Open,"100 N 1ST STREET, MARATHON, TX"
Brigadoon Brewery & Brewschool,5041,SPENCER HWY '703',PASADENA,TX,Brewpub,5/18/2017,In the works,"5041 SPENCER HWY '703', PASADENA, TX"
Brutal Beerworks,8447,BOULEVARD 26,NORTH RICHLAND HILLS,TX,Brewpub,2/28/2019,Open,"8447 BOULEVARD 26, NORTH RICHLAND HILLS, TX"
BS Brewing,1408,OLD LEHMANN ROAD,SEGUIN,TX,Brewpub,2/6/2015,Open,"1408 OLD LEHMANN ROAD, SEGUIN, TX"
Busted Sandal Brewing Company,7114,OAKLAWN DRIVE,SAN ANTONIO,TX,Brewpub,10/17/2016,Open,"7114 OAKLAWN DRIVE, SAN ANTONIO, TX"
By The Horns Brewing,109,S MAIN STREET,MANSFIELD,TX,Brewpub,10/31/2017,Open,"109 S MAIN STREET, MANSFIELD, TX"
Cactus Land Brewing Company,368,CRD 325,ADKINS,TX,Brewpub,6/3/2016,Open,"368 CRD 325, ADKINS, TX"
Caracara Brewing Company,100,E MARKET STREET SUITE A,LOCKHART,TX,Brewpub,7/26/2017,Open,"100 E MARKET STREET SUITE A, LOCKHART, TX"
Cedar Creek Brewery Llc,336,E CEDAR CREEK PARKWAY,SEVEN POINTS,TX,Brewpub,6/12/2014,Open,"336 E CEDAR CREEK PARKWAY, SEVEN POINTS, TX"
Celestial Beerworks,2530,BUTLER STREET,DALLAS,TX,Brewpub,7/6/2018,Open,"2530 BUTLER STREET, DALLAS, TX"
Cellarman's Pub & Brewery,2130,TEXOMA PARKWAY,SHERMAN,TX,Brewpub,4/25/2017,Open,"2130 TEXOMA PARKWAY, SHERMAN, TX"
Central District Brewing,417,RED RIVER STREET,AUSTIN,TX,Brewpub,11/9/2018,Open,"417 RED RIVER STREET, AUSTIN, TX"
Central Machine,4824,E CESAR CHAVEZ STREET,AUSTIN,TX,Brewpub,11/5/2018,In the works,"4824 E CESAR CHAVEZ STREET, AUSTIN, TX"
Cibolo Creek Brewing Co.,448,S MAIN,BOERNE,TX,Brewpub,9/14/2015,Open,"448 S MAIN, BOERNE, TX"
Circle Brewing Company,2340,W BRAKER LANE SUITE B,AUSTIN,TX,Brewpub,4/24/2018,Open,"2340 W BRAKER LANE SUITE B, AUSTIN, TX"
City Acre Brewing,3418,TOPPING STREET,HOUSTON,TX,Brewpub,3/1/2013,Open,"3418 TOPPING STREET, HOUSTON, TX"
Coalfox Brewing Company,2885,FM 1155 SOUTH,CHAPPELL HILL,TX,Brewpub,12/22/2017,Open,"2885 FM 1155 SOUTH, CHAPPELL HILL, TX"
Compadre Brewing,16920,JOE BARBEE DRIVE BUILDING 1,PFLUGERVILLE,TX,Brewpub,11/9/2018,Open,"16920 JOE BARBEE DRIVE BUILDING 1, PFLUGERVILLE, TX"
Copperhead Brewery,822,N FRAZIER STREET,CONROE,TX,Brewpub,7/12/2018,Open,"822 N FRAZIER STREET, CONROE, TX"
Cowtown Brewing Company,1301,E BELKNAP STREET,FORT WORTH,TX,Brewpub,9/17/2018,Open,"1301 E BELKNAP STREET, FORT WORTH, TX"
Craft Beer Cellar Cypress / Stovetop Brewing,11734,BARKER CYPRESS SUITE 102,CYPRESS,TX,Brewpub,4/27/2018,In the works,"11734 BARKER CYPRESS SUITE 102, CYPRESS, TX"
Cranky Britches Brewing Co.,1675,DICKINSON AVENUE SUITE C,DICKINSON,TX,Brewpub,1/11/2018,Open,"1675 DICKINSON AVENUE SUITE C, DICKINSON, TX"
Cyclers Brewing,17105,OSBORN ROAD,MONTGOMERY,TX,Brewpub,7/30/2018,Open,"17105 OSBORN ROAD, MONTGOMERY, TX"
Dead Beach Brewery,406,DURANGO,EL PASO,TX,Brewpub,9/11/2014,Open,"406 DURANGO, EL PASO, TX"
Denton County Brewing Company,200,E MCKINNEY STREET,DENTON,TX,Brewpub,4/21/2016,Open,"200 E MCKINNEY STREET, DENTON, TX"
Devil And The Deep Brewery,2425,POST OFFICE STREET,GALVESTON,TX,Brewpub,10/27/2017,Open,"2425 POST OFFICE STREET, GALVESTON, TX"
Distant State Brewing / Austin Java,3799,HWY 290 EAST,DRIPPING SPRINGS,TX,Brewpub,3/23/2015,Open,"3799 HWY 290 EAST, DRIPPING SPRINGS, TX"
Division Brewing,506,E MAIN STREET,ARLINGTON,TX,Brewpub,8/10/2015,Open,"506 E MAIN STREET, ARLINGTON, TX"
Dos Sirenos Brewing,231,E CEVALLOS,SAN ANTONIO,TX,Brewpub,3/12/2019,In the works,"231 E CEVALLOS, SAN ANTONIO, TX"
Double Horn Brewing Company,208,AVE H,MARBLE FALLS,TX,Brewpub,4/13/2011,Open,"208 AVE H, MARBLE FALLS, TX"
El Paso Brewing Co,810,TEXAS AVE SUITE B,EL PASO,TX,Brewpub,5/16/2016,Open,"810 TEXAS AVE SUITE B, EL PASO, TX"
Eola School Restaurant,12119,FM 381,EOLA,TX,Brewpub,8/9/2013,Open,"12119 FM 381, EOLA, TX"
ETX Brewing Co.,221,S BROADWAY AVENUE,TYLER,TX,Brewpub,9/24/2018,Open,"221 S BROADWAY AVENUE, TYLER, TX"
Eureka Heights Brewing Company,941,W 18TH STREET,HOUSTON,TX,Brewpub,4/4/2016,Open,"941 W 18TH STREET, HOUSTON, TX"
Family Business Beer Company,19510,HAMILTON POOL ROAD,DRIPPING SPRINGS,TX,Brewpub,10/15/2018,Open,"19510 HAMILTON POOL ROAD, DRIPPING SPRINGS, TX"
Fetching Lab Brewery,1578,CRD 423 SUITE B,ALGOA,TX,Brewpub,12/2/2016,Open,"1578 CRD 423 SUITE B, ALGOA, TX"
Fire Ant Brewpub,308,MARKET STREET INCLUDING 310,TOMBALL,TX,Brewpub,10/24/2017,Open,"308 MARKET STREET INCLUDING 310, TOMBALL, TX"
Fletcher's Brewery & Pub,904,BUDDY HOLLY AVENUE,LUBBOCK,TX,Brewpub,11/16/2018,In the works,"904 BUDDY HOLLY AVENUE, LUBBOCK, TX"
Flix Brewhouse,1660,FM 423,LITTLE ELM,TX,Brewpub,4/3/2018,Open,"1660 FM 423, LITTLE ELM, TX"
Flix Brewhouse,2200,IH 35S SUITE B1,ROUND ROCK,TX,Brewpub,8/4/2011,Open,"2200 IH 35S SUITE B1, ROUND ROCK, TX"
Flying Man Brewing Company,2400,PATTERSON INDUSTRIAL DRIVE,AUSTIN,TX,Brewpub,12/6/2016,Open,"2400 PATTERSON INDUSTRIAL DRIVE, AUSTIN, TX"
Fort Brewery,1001,W MAGNOLIA AVENUE,FORT WORTH,TX,Brewpub,7/23/2018,Open,"1001 W MAGNOLIA AVENUE, FORT WORTH, TX"
Fortress Beerworks,2606,SPRING CYPRESS ROAD,SPRING,TX,Brewpub,12/17/2018,Open,"2606 SPRING CYPRESS ROAD, SPRING, TX"
Fredericksburg Brewing Company Inc.,245,E MAIN,FREDERICKSBURG,TX,Brewpub,3/23/1994,Open,"245 E MAIN, FREDERICKSBURG, TX"
Fredonia Brewery,138,N MOUND STREET,NACOGDOCHES,TX,Brewpub,2/4/2016,Open,"138 N MOUND STREET, NACOGDOCHES, TX"
